HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
rr_f2o10.ibi,8375,15,940,668,802.6,804,39.9,23,45,0.5,14.4,81.8,74.9,3.8,7.7,127.5,1182.85,132,54.83,1369.68,86.4,9.6,4,0.707,0.293,2.408,0,0.04,0.3,536.82,56.25,27.23,620.29,86.5,9.1,4.4,0.674,0.326,2.066,0,0.04,0.3,0.002,0,0,0.003,83.9,11.1,5,0.688,0.312,2.206,0,0.08,0.19,10.1,55.4,2.229,1.168,1.253,1.066,60.45,62.04,21.81,144.29,41.9,43,15.1,0.74,0.26,2.845,0.04,0.04,0.3,3.2981,2.22,4.93,2.07,9.22,24.1,53.5,22.4,0.704,0.296,2.382,0.04,0.04,0.3,2.9545,397.66,133.3,55.7,586.66,67.8,22.7,9.5,0.705,0.295,2.393,0.02,0.04,0.3,1343.2
rr_f2y01.ibi,8023,29,1064,680,873.7,880,61.6,54.6,2040,25.4,52.3,25,69,5.1,10.8,228,1624.19,934.76,819.45,3378.39,48.1,27.7,24.3,0.533,0.467,1.141,0,0.09,0.35,644.87,419.38,272.84,1337.1,48.2,31.4,20.4,0.606,0.394,1.537,0,0.1,0.34,0.008,0.007,0.006,0.021,39,31.4,29.6,0.515,0.485,1.063,0.02,0.05,0.35,37,78.8,2.316,0.974,0.955,0.998,133.16,388.1,326.84,848.11,15.7,45.8,38.5,0.543,0.457,1.187,0,0.04,0.34,1.0991,5.19,31.25,28.76,65.21,8,47.9,44.1,0.521,0.479,1.087,0.04,0.09,0.35,0.98684,1046.36,919.06,787.07,2752.5,38,33.4,28.6,0.539,0.461,1.168,0.01,0.1,0.34,113.9098
rr_f2y02.ibi,6546,2,1860,992,1423,1420,141.5,114.2,3890,59.4,99.6,79.4,42.6,4.4,12.5,651,11773.93,4433.41,2780.87,18988.22,62,23.3,14.6,0.615,0.385,1.594,0,0.04,0.19,4983.52,1632.6,1137.33,7753.45,64.3,21.1,14.7,0.589,0.411,1.435,0,0.06,0.18,0.004,0.001,0.001,0.007,63.2,21.4,15.4,0.582,0.418,1.394,0,0.07,0.2,70.4,187.3,2.269,1.012,1.033,1.014,800.14,1863.82,1057.23,3721.19,21.5,50.1,28.4,0.638,0.362,1.763,0,0.04,0.19,1.5163,31.75,146.39,115.49,293.63,10.8,49.9,39.3,0.559,0.441,1.268,0.04,0.04,0.19,1.0556,6085.74,4526.84,2886.12,13498.69,45.1,33.5,21.4,0.611,0.389,1.568,0.01,0.04,0.18,111.897
rr_f2y03.ibi,6702,38,1148,912,1035.6,1036,34.7,26.6,347,5.2,28.3,21.7,58,2,10.3,147.5,768.9,125.3,237.19,1131.39,68,11.1,21,0.346,0.654,0.528,0,0.15,0.3,294.53,37.74,86.63,418.9,70.3,9,20.7,0.303,0.697,0.436,0,0.04,0.3,0.007,0.001,0.003,0.011,58.8,11.9,29.3,0.29,0.71,0.408,0.01,0.05,0.31,20,44.8,2.452,1.083,0.823,1.092,44.97,55.67,93.57,194.22,23.2,28.7,48.2,0.373,0.627,0.595,0.04,0.04,0.3,0.21958,1.74,4.41,8.63,14.79,11.8,29.8,58.4,0.338,0.662,0.511,0.04,0.04,0.3,0.15245,343.49,127.13,232.93,703.55,48.8,18.1,33.1,0.353,0.647,0.546,0.01,0.04,0.3,126.3394
rr_f2y04.ibi,8513,34,972,664,821.8,824,48.9,38.3,359,4.2,25.2,27.7,73.3,4.5,9.7,182.9,1419.48,468.52,200.9,2088.9,68,22.4,9.6,0.7,0.3,2.332,0,0.04,0.3,731.74,218.31,82.78,1032.82,70.8,21.1,8,0.725,0.275,2.637,0,0.04,0.28,0.006,0.001,0.001,0.007,75.5,16.2,8.3,0.66,0.34,1.94,0,0.06,0.32,17.9,66.8,1.784,1.094,1.243,1.01,130.95,207.02,79.26,417.24,31.4,49.6,19,0.723,0.277,2.612,0,0.04,0.29,1.8354,5.1,16.41,7.25,28.76,17.7,57.1,25.2,0.693,0.307,2.263,0.04,0.04,0.3,2.3481,842.76,481.26,203.07,1527.09,55.2,31.5,13.3,0.703,0.297,2.37,0.02,0.04,0.29,Inf
rr_f2y05.ibi,9183,13,944,576,760.8,768,55.1,33,167,1.8,20.4,41.3,79.3,6.2,8,172.5,1890.39,438.75,169.52,2498.65,75.7,17.6,6.8,0.721,0.279,2.588,0,0.1,0.29,548.04,173.34,71.81,793.19,69.1,21.9,9.1,0.707,0.293,2.414,0,0.1,0.3,0.002,0.001,0,0.004,63.7,24.6,11.7,0.677,0.323,2.101,0,0.1,0.31,14.4,76.6,1.655,1.024,1.281,0.991,66.28,183.26,69.02,318.56,20.8,57.5,21.7,0.726,0.274,2.655,0,0.05,0.29,2.5969,2.51,14.1,6.14,22.75,11,62,27,0.697,0.303,2.296,0.04,0.04,0.29,3.0357,489.26,436.32,181.96,1107.54,44.2,39.4,16.4,0.706,0.294,2.398,0.01,0.1,0.28,Inf
rr_f2y06.ibi,6837,43,1244,804,1024.9,1020,73.6,53.7,832,12.2,33.4,48.2,58.8,4.3,11,302.5,2552.08,1146.89,263.05,3962.02,64.4,28.9,6.6,0.813,0.187,4.36,0,0.08,0.34,1117.24,487.74,107.42,1712.4,65.2,28.5,6.3,0.82,0.18,4.541,0,0.09,0.34,0.006,0.002,0.001,0.008,68,24.9,7.1,0.779,0.221,3.529,0.01,0.08,0.35,23.7,101.4,2.156,1.084,1.332,1.058,197.8,480.7,104.77,783.26,25.3,61.4,13.4,0.821,0.179,4.588,0,0.04,0.34,8.5102,7.88,37.25,11.38,56.52,13.9,65.9,20.1,0.766,0.234,3.272,0.04,0.04,0.34,8.7826,1750.29,1134.19,272.48,3156.95,55.4,35.9,8.6,0.806,0.194,4.162,0.01,0.08,0.33,Inf
rr_f2y07.ibi,6488,14,1384,772,1078.8,1076,99.6,83.6,3458,53.3,82,51.6,56.1,5.4,11.1,420.8,4432.15,2159.12,2556.07,9147.34,48.5,23.6,27.9,0.458,0.542,0.845,0,0.11,0.23,1694,946.02,1026.36,3666.38,46.2,25.8,28,0.48,0.52,0.922,0,0.12,0.23,0.006,0.003,0.004,0.014,45,24.6,30.4,0.447,0.553,0.809,0,0.1,0.23,58,128.4,2.401,0.923,0.841,0.974,253.05,898.85,1010.81,2162.71,11.7,41.6,46.7,0.471,0.529,0.889,0,0.11,0.23,0.52961,10.29,71.85,87.96,170.1,6,42.2,51.7,0.45,0.55,0.817,0.04,0.11,0.23,0.39875,2164.26,2120.6,2705.22,6990.08,31,30.3,38.7,0.439,0.561,0.784,0.01,0.11,0.22,36.4225
rr_f2y08.ibi,7304,23,1308,640,985.8,980,101.4,85.2,4652,63.7,100.8,49.9,61.5,6.6,10.8,438.4,4255.56,1960.31,2965.6,9181.47,46.3,21.4,32.3,0.398,0.602,0.661,0,0.09,0.34,2288.99,819.47,1255.6,4364.06,52.5,18.8,28.8,0.395,0.605,0.653,0,0.11,0.33,0.007,0.004,0.005,0.017,44.4,23.1,32.4,0.416,0.584,0.712,0,0.08,0.37,71.3,124.4,2.451,0.967,0.783,1.065,239.93,791.61,1160.83,2192.37,10.9,36.1,52.9,0.405,0.595,0.682,0,0.09,0.34,0.3241,9.11,62.4,101,172.51,5.3,36.2,58.5,0.382,0.618,0.618,0.04,0.04,0.34,0.25815,2155.07,1935.48,2800.91,6891.45,31.3,28.1,40.6,0.409,0.591,0.691,0.03,0.1,0.33,32.8005
rr_f2y09.ibi,8596,241,1260,376,819.9,820,125.2,116.3,3143,36.6,168.5,40.3,75.3,14.8,7,331.5,2812.77,1869.45,6133.72,10815.94,26,17.3,56.7,0.234,0.766,0.305,0,0.04,0.36,1251.04,755.71,2379.38,4386.13,28.5,17.2,54.2,0.241,0.759,0.318,0,0.12,0.37,0.007,0.006,0.012,0.025,26,25.1,48.9,0.339,0.661,0.513,0,0.08,0.34,119.1,131.1,1.596,0.713,0.575,0.77,233.86,747.69,2443.57,3425.12,6.8,21.8,71.3,0.234,0.766,0.306,0,0.07,0.37,0.25134,10.14,66.78,141.48,218.4,4.6,30.6,64.8,0.321,0.679,0.472,0.04,0.05,0.27,0.22911,1341.37,1854.4,6006.31,9202.08,14.6,20.2,65.3,0.236,0.764,0.309,0.04,0.06,0.38,13.4406
rr_f2y10.ibi,7108,64,1700,256,1004,1012,84.6,65.5,1846,26,66,45.9,60.3,7.6,3.9,315.9,1822.95,2163.19,1263.56,5249.7,34.7,41.2,24.1,0.631,0.369,1.712,0,0.07,0.24,869.93,744.37,361.45,1975.75,44,37.7,18.3,0.673,0.327,2.059,0,0.09,0.22,0.007,0.011,0.006,0.024,30.6,45.4,24,0.654,0.346,1.892,0,0.07,0.24,46.7,110.2,1.693,0.785,1.052,0.759,194.65,832.08,497.71,1524.45,12.8,54.6,32.6,0.626,0.374,1.672,0,0.07,0.24,1.7241,8.17,69.13,47.99,125.29,6.5,55.2,38.3,0.59,0.41,1.44,0.04,0.07,0.24,1.6842,880.23,2194.71,1309.14,4384.08,20.1,50.1,29.9,0.626,0.374,1.676,0.04,0.07,0.22,374.5789
