HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
rr_f2o10.ibi,8440,0,1196,216,802.5,804,46,29.9,129,1.5,41.8,31.2,75,5.2,3.1,214.4,1162.77,157.52,407.46,1727.75,67.3,9.1,23.6,0.279,0.721,0.387,0,0.04,0.39,532.29,64.21,136.1,732.61,72.7,8.8,18.6,0.321,0.679,0.472,0,0.04,0.33,0.003,0,0.001,0.004,73,12,15,0.445,0.555,0.801,0,0.04,0.24,29.6,57.9,1.182,0.989,0.621,1.016,58.23,72.33,132.05,262.61,22.2,27.5,50.3,0.354,0.646,0.548,0.04,0.04,0.35,2.125,2.31,5.14,5.58,13.03,17.7,39.5,42.8,0.479,0.521,0.921,0.04,0.04,0.3,2.0207,396.78,153.46,347.01,897.25,44.2,17.1,38.7,0.307,0.693,0.442,0.02,0.04,0.39,35.8071
rr_f2y01.ibi,8105,0,1200,592,872.8,880,65.2,56.5,2090,25.8,54.7,27.6,69.2,5.5,6.6,247,1785.86,1021.35,891.87,3699.08,48.3,27.6,24.1,0.534,0.466,1.145,0,0.1,0.34,686.99,447.71,294.11,1428.81,48.1,31.3,20.6,0.604,0.396,1.522,0,0.1,0.34,0.007,0.004,0.004,0.015,44.1,29.3,26.5,0.525,0.475,1.106,0,0.09,0.34,38.7,83.7,2.315,0.974,0.987,1.001,136.41,429.33,353.3,919.04,14.8,46.7,38.4,0.549,0.451,1.215,0,0.09,0.34,1.0982,5.89,34.44,31.42,71.75,8.2,48,43.8,0.523,0.477,1.096,0.04,0.09,0.34,1.1355,1146.84,1006.08,867.45,3020.37,38,33.3,28.7,0.537,0.463,1.16,0.01,0.1,0.33,110.3858
rr_f2y02.ibi,6573,0,2196,992,1425.3,1424,145.8,117.2,3919,59.6,107.5,82.3,42.5,4.4,9.7,677.3,12143.97,5198.98,3166.34,20509.29,59.2,25.3,15.4,0.621,0.379,1.642,0,0.04,0.18,5200.63,1908.23,1347.91,8456.76,61.5,22.6,15.9,0.586,0.414,1.416,0,0.07,0.18,0.005,0.002,0.001,0.008,60,21.8,18.3,0.543,0.457,1.19,0,0.07,0.18,76,191.7,2.269,1,0.993,1.016,821.51,2168.44,1228.16,4218.12,19.5,51.4,29.1,0.638,0.362,1.766,0,0.04,0.18,1.502,33.53,159.84,138.25,331.62,10.1,48.2,41.7,0.536,0.464,1.156,0.04,0.04,0.18,1.0203,6243.01,5211.99,3338.04,14793.04,42.2,35.2,22.6,0.61,0.39,1.561,0.01,0.04,0.18,111.8675
rr_f2y03.ibi,6806,0,1176,392,1033.4,1036,40.6,29.1,389,5.7,30.1,25.2,58.2,2.6,3.6,171.5,1046.31,161.71,270.12,1478.13,70.8,10.9,18.3,0.374,0.626,0.599,0,0.04,0.3,461.12,45.06,92.15,598.34,77.1,7.5,15.4,0.328,0.672,0.489,0,0.04,0.3,0.01,0.002,0.004,0.015,64.9,10.6,24.5,0.302,0.698,0.433,0,0.07,0.3,21.3,53.2,1.403,1.12,0.902,1.126,62.88,73.51,105.59,241.98,26,30.4,43.6,0.41,0.59,0.696,0.04,0.04,0.3,0.25201,2.38,6.56,11.03,19.97,11.9,32.9,55.2,0.373,0.627,0.595,0.04,0.04,0.3,0.18373,506.18,163.78,269.16,939.12,53.9,17.4,28.7,0.378,0.622,0.608,0.01,0.04,0.3,123.469
rr_f2y04.ibi,8602,0,1108,256,820.1,824,52.5,39.4,365,4.2,27.5,31.1,73.5,5.2,4.3,213,1654.79,483.89,212.45,2351.13,70.4,20.6,9,0.695,0.305,2.278,0,0.04,0.3,843.35,224.29,91.43,1159.06,72.8,19.4,7.9,0.71,0.29,2.453,0,0.04,0.29,0.004,0.001,0,0.005,77,14.8,8.2,0.643,0.357,1.797,0,0.07,0.32,19.4,71.7,1.783,1.113,1.224,1.055,134.37,211.96,83.1,429.42,31.3,49.4,19.4,0.718,0.282,2.551,0.04,0.04,0.29,2.0654,4.5,16.79,8.13,29.42,15.3,57.1,27.7,0.674,0.326,2.064,0.04,0.04,0.3,2.2571,921.59,492.33,211.97,1625.89,56.7,30.3,13,0.699,0.301,2.323,0.01,0.04,0.29,Inf
rr_f2y05.ibi,9247,0,2000,288,759.2,768,61.8,35.4,187,2,38.6,82.7,79.6,7.8,2.5,214,2059.8,533.46,602.44,3195.7,64.5,16.7,18.9,0.47,0.53,0.885,0,0.1,0.3,564.58,174.42,75.69,814.69,69.3,21.4,9.3,0.697,0.303,2.305,0,0.1,0.3,0.003,0.001,0.001,0.005,55.7,21.9,22.5,0.494,0.506,0.974,0,0.1,0.22,27.3,83,1.656,0.962,0.973,0.978,81.02,223.13,273.4,577.54,14,38.6,47.3,0.449,0.551,0.816,0,0.04,0.3,2.6772,3.06,16.14,11.72,30.92,9.9,52.2,37.9,0.579,0.421,1.377,0.04,0.04,0.31,2.5827,571.9,542.18,732.07,1846.15,31,29.4,39.7,0.425,0.575,0.741,0.01,0.1,0.3,249.7143
rr_f2y06.ibi,6850,0,1332,788,1024.9,1020,74.2,54.3,836,12.2,33.6,48.6,58.9,4.3,8.5,289,2619.38,1150.17,264.71,4034.26,64.9,28.5,6.6,0.813,0.187,4.345,0,0.08,0.34,1131.33,495.36,108.01,1734.71,65.2,28.6,6.2,0.821,0.179,4.586,0,0.09,0.34,0.007,0.003,0.001,0.011,62.8,30.1,7,0.81,0.19,4.275,0.01,0.07,0.36,23.7,102.3,2.156,1.09,1.343,1.063,200.44,481.34,107.08,788.87,25.4,61,13.6,0.818,0.182,4.495,0.04,0.07,0.34,8.7292,7.8,38.15,11.28,57.23,13.6,66.7,19.7,0.772,0.228,3.381,0.04,0.04,0.34,9.0222,1783.89,1164.38,273.51,3221.78,55.4,36.1,8.5,0.81,0.19,4.257,0.01,0.08,0.33,Inf
rr_f2y07.ibi,6509,0,1448,420,1077.8,1076,102.8,85.6,3468,53.3,84.1,52.5,56.2,6.1,7.3,449.8,4683.38,2257.56,2649.88,9590.82,48.8,23.5,27.6,0.46,0.54,0.852,0,0.11,0.23,1776,970.29,1057.57,3803.86,46.7,25.5,27.8,0.478,0.522,0.917,0,0.11,0.23,0.006,0.003,0.003,0.012,45.9,26.3,27.8,0.486,0.514,0.945,0,0.11,0.23,59.5,132.7,2.402,0.923,0.853,0.97,260.49,908.07,1054.06,2222.61,11.7,40.9,47.4,0.463,0.537,0.861,0,0.12,0.23,0.45625,10.29,75.4,94.88,180.58,5.7,41.8,52.5,0.443,0.557,0.795,0.04,0.11,0.23,0.39319,2264.16,2189.3,2795.78,7249.24,31.2,30.2,38.6,0.439,0.561,0.783,0.01,0.11,0.22,36.4107
rr_f2y08.ibi,7377,0,1588,192,981.2,980,113.9,95.7,4713,63.9,113.5,54.9,62.2,10.7,5.4,436.3,4600.7,2254.31,3659.39,10514.4,43.8,21.4,34.8,0.381,0.619,0.616,0,0.09,0.34,2429.02,937.91,1426.5,4793.44,50.7,19.6,29.8,0.397,0.603,0.657,0,0.11,0.34,0.006,0.004,0.006,0.016,40.2,23.4,36.5,0.391,0.609,0.641,0.01,0.09,0.37,80.3,139.6,2.456,0.923,0.82,1.009,264.03,890.21,1392.02,2546.26,10.4,35,54.7,0.39,0.61,0.64,0,0.09,0.34,0.33611,11.74,83.45,141.19,236.38,5,35.3,59.7,0.371,0.629,0.591,0.04,0.08,0.34,0.20466,2272.16,2222.64,3441.57,7936.37,28.6,28,43.4,0.392,0.608,0.646,0.01,0.09,0.34,35.9286
rr_f2y09.ibi,8810,0,1632,4,818.2,820,148.1,134.9,3347,38,198.8,89.9,78.3,160.3,4.1,356.1,3637.21,2821.69,10615.66,17074.56,21.3,16.5,62.2,0.21,0.79,0.266,0,0.07,0.35,1629.22,1112.4,4276.45,7018.06,23.2,15.9,60.9,0.206,0.794,0.26,0,0.04,0.35,0.006,0.004,0.01,0.021,30.2,20.6,49.2,0.296,0.704,0.42,0,0.08,0.32,140.6,155.3,1.604,0.712,0.547,0.777,294.44,1107.86,4255.78,5658.08,5.2,19.6,75.2,0.207,0.793,0.26,0,0.09,0.34,0.19154,12.4,84.83,201.63,298.85,4.1,28.4,67.5,0.296,0.704,0.421,0.04,0.05,0.36,0.13936,1684.43,2780.03,10443.57,14908.03,11.3,18.6,70.1,0.21,0.79,0.266,0.01,0.07,0.35,7.5861
rr_f2y10.ibi,7113,0,25068,256,1008.5,1012,301.6,129.1,1851,26,401.1,90.6,60.3,7.7,1.6,NaN,85945347.14,7741125.37,100509.52,93786982.04,91.6,8.3,0.1,0.987,0.013,77.019,0,0.04,0.32,1759149.18,90132.45,1739.65,1851021.27,95,4.9,0.1,0.981,0.019,51.811,0,0.04,0.15,0.013,0.033,0.072,0.118,10.7,28.2,61.1,0.316,0.684,0.462,0.01,0.06,0.32,283.7,318.6,0.844,0.58,0.568,0.553,9797471.55,2721751.52,29483.21,12548706.28,78.1,21.7,0.2,0.989,0.011,92.315,0.03,0.06,0.15,1.9085,1258.23,4343.95,13848.09,19450.27,6.5,22.3,71.2,0.239,0.761,0.314,0.02,0.13,0.35,1.5899,62458611.06,6118006.95,87547.4,68664165.41,91,8.9,0.1,0.986,0.014,69.882,0.01,0.04,0.15,376.5263
